D,N,ticks,n_obs,mean_abs,median_abs,std,bias,min,max,within_correct,within_1adj
2,150,9993,1289284,16.31105830833239,13.4,22.07439472649636,-0.5047968484833447,-179.9,180.0,78.329289745316,95.86793910418496
2,200,9747,1322752,17.420058181730205,14.1,23.41941931197007,-0.2291002395006774,-180.0,180.0,75.56450491097348,94.04869544706793
2,250,9996,692200,32.522927911008374,30.2,38.957030917123504,0.5822890783010691,-179.4,179.8,37.01531349321006,73.04305114128864
2,300,9993,719416,33.834363011109005,32.1,39.990617038920846,0.06635479333236952,-162.8,175.0,34.22261945800483,70.76934624751186
2,350,9993,747634,34.173891503061675,32.2,40.5671656889324,-1.163504602519415,-179.5,176.8,33.89425842056407,70.36772003413435
2,400,9997,753162,34.325953247774066,32.5,40.666828334679884,-2.289897525366389,-180.0,175.0,33.6981950762253,70.0092410397763
3,5,1233,3079,37.05004871711595,24.8,49.963718418840905,-13.339753166612535,-179.4,175.2,46.70347515427087,73.62780123416694
3,10,1893,10725,38.81575757575758,22.7,55.353642455134555,-7.163468531468531,-180.0,179.6,49.687645687645684,72.38228438228438
3,25,1364,14561,21.84194766842937,15.9,31.142072860349938,-0.23723645354027892,-176.5,174.7,67.85248265915801,89.19717052400247
3,50,1603,43673,21.10488860394294,15.7,30.414442787925246,-0.9898610125249011,-179.6,179.8,67.8313832344927,90.5570947725139
3,100,1613,83404,19.983180662797945,14.6,30.00487337845893,0.8244952280466166,-180.0,180.0,71.98215912905856,91.95722027720493
3,150,2506,251661,17.831419647859622,14.1,24.86937116817572,-0.3963264073495694,-179.8,180.0,75.36606784523624,93.96251306320804
3,200,9998,1717723,16.95134483266511,13.8,22.871996809347387,-0.22904816434314484,-179.9,180.0,76.35625767367614,95.01764836356037
3,250,9994,1628376,19.09735098036327,15.1,25.38171467925865,0.6293148511154655,-180.0,179.9,70.49864404781205,92.01683149346343
3,300,9989,858881,32.452788104522035,30.4,38.50821420227528,0.9867470580907018,-179.6,178.7,36.60542030851771,72.85898744994941
3,350,9994,845217,34.48740773079578,32.4,40.891189653847405,-3.2163055168081085,-179.7,179.8,33.71406396227241,69.90358688952068
3,400,9999,1122619,27.415769375006114,22.6,34.47912700617451,-1.1774438166466095,-179.9,180.0,49.891904555329994,80.40216671907388
4,5,487,931,37.027712137486574,19.0,55.26800649628413,-13.062728249194414,-174.1,173.2,53.383458646616546,73.68421052631578
4,10,1428,9025,28.63945706371191,19.1,42.171753542843746,-4.6044432132964,-179.3,179.7,58.26038781163435,81.45152354570638
4,25,1166,13854,24.13770030316154,16.4,35.249274887140004,-3.010372455608488,-179.9,179.6,64.50844521437851,85.28944709109282
4,50,1347,30357,28.395875745297623,18.9,42.4549179702084,0.9418519616562903,-179.9,180.0,58.24686233817571,83.23945053859076
4,100,2149,156333,17.907650975801655,14.0,25.330897574707784,-0.43702865038091765,-179.8,179.8,75.83747513320924,93.91171409747142
4,150,5154,655952,16.84852961802083,13.7,23.095795678528546,-0.20579173476108004,-179.9,179.8,77.48158401834282,95.08226211674025
4,200,4295,664329,17.420098926887132,13.8,24.026550677063735,-0.9856211304940777,-179.9,180.0,76.27259987144923,94.26263191882336
4,250,9990,938275,30.295144600463626,27.7,36.23740962018156,-5.513531107617703,-179.8,179.8,40.78324585009725,77.4335882337268
4,300,9995,1208821,26.099274086072306,21.1,33.02625768947063,0.4309964833503051,-179.7,179.9,52.853648306904,82.25849815646816
4,350,9996,1093739,29.707670751431568,26.0,36.32126660365792,-2.70592243670565,-179.0,179.6,44.20186168729469,76.8581901166549
4,400,9998,1690161,21.771866999652687,16.9,28.475111045427393,0.1304739015987237,-180.0,179.8,64.45167058049499,87.73986620209554
6,5,525,838,45.16384248210024,33.05,57.25238246771636,2.9636038186157525,-178.2,178.6,34.24821002386635,59.785202863961814
6,10,2053,12902,28.70800651061851,18.1,43.879709453244324,0.035413114245853326,-179.9,179.9,58.711827623624245,82.97938304138893
6,25,1051,8295,38.823254972875226,21.5,58.518168304708475,-4.426871609403255,-179.9,180.0,52.368896925858955,73.10427968655817
6,50,2056,66108,21.832805409330188,15.7,31.83210369077586,-0.28960035094088477,-178.8,179.9,67.51830338234404,89.38706359290858
6,100,1406,95887,15.514201090867378,13.0,21.8228689291133,-0.2440184800859345,-178.8,179.5,83.20835984022861,96.58139268096822
6,150,1978,218764,17.2910158892688,13.9,23.90889905099447,-0.5029300981880017,-180.0,179.8,77.75593790568833,94.47166809895594
6,200,9999,1905542,17.499644877940238,13.9,24.050158246212902,-0.24870671966296212,-180.0,180.0,75.21020266149998,94.33856614023726
6,250,8201,1680329,17.648441406415056,14.1,24.323121616526937,-0.3023581096321019,-179.9,180.0,75.5302086674693,94.10549957776126
6,300,9996,2170723,19.27085915614291,15.1,25.77465027503467,0.17765813510060977,-179.9,180.0,70.20683891956735,91.86782468329676
6,350,9997,1837160,22.54960814518059,17.3,29.506544549298855,-1.261064850094712,-180.0,179.9,63.096845130527555,86.65293169892661
6,400,9998,1214193,33.28747406713759,31.4,39.320487507246604,-1.8085816670002213,-179.6,176.4,35.22850156441357,71.61760939158766
10,5,1022,1722,37.649419279907086,22.3,53.34568412658588,-5.933739837398375,-177.4,177.5,50.29036004645761,70.67363530778165
10,10,866,2871,49.25579937304075,26.7,67.10384386686536,-16.6183908045977,-178.8,179.5,45.87251828631139,62.13862765586904
10,25,2709,53001,24.24621799588687,16.9,36.353864647305954,-0.6079055112167695,-179.9,180.0,66.59874341993547,87.51532989943586
10,50,1620,41109,23.204857817023036,16.0,35.12726220777169,-1.1012600647060253,-179.8,180.0,66.6009876182831,88.93916174073804
10,100,1706,136995,17.983095733420928,13.8,26.223679054621716,-0.15212963976787475,-179.6,178.9,78.43862914704917,93.2282200080295
10,150,1345,132044,16.74055314895035,13.4,23.877447066695385,-0.3590727333313138,-179.7,179.9,81.25170397746206,94.8623186210657
10,200,1923,295309,18.67423139829805,14.2,27.06331994852888,0.2745138143436197,-180.0,180.0,76.3678045708055,92.57557338245702
10,250,9998,2393079,17.79216064325498,14.0,24.38992198212398,-0.17371469976544854,-180.0,180.0,74.49954640026509,93.85853956346615
10,300,9996,2869984,17.377341371937963,13.8,23.718602733248566,-0.05374590938486067,-180.0,180.0,75.5077728656327,94.34787789757712
10,350,4963,1529295,16.90490663998771,13.7,23.027322964995243,0.23090417479949918,-179.9,179.9,77.96984885192197,94.59182172177375
10,400,2754,640067,20.446596996876885,15.8,27.292428117606555,-2.681493343665586,-179.9,180.0,70.8289913399691,89.31861820715645
15,5,2024,8897,35.98634371136338,20.7,52.56557095513195,-4.599314375632236,-179.9,179.5,55.636731482522194,75.44115994155334
15,10,4774,43823,27.108014056545656,17.4,41.44585981270002,-5.228284234306186,-179.7,179.7,68.55988864295006,84.41457682039112
15,25,1045,8396,37.07885898046688,20.5,55.94741686126809,-0.34331824678418305,-179.4,180.0,53.787517865650315,74.97617913292044
15,50,1950,63263,21.642328059055053,15.9,31.485055036262825,-1.3054139070230624,-180.0,179.9,68.36697595751072,90.1174462165879
15,100,1084,77396,15.801815339294018,12.9,22.82610761097668,-1.1918096542456975,-177.8,179.8,84.29634606439609,95.73621375781694
15,150,9999,1476596,19.14648509138587,14.6,27.125571716671622,-0.2444428266093096,-180.0,180.0,72.4484557726013,92.40780822919741
15,200,3683,654366,18.19981432409386,14.1,25.779494892200457,-0.012577517780569153,-180.0,179.9,75.50820183200227,93.3810742000654
15,250,2226,460579,16.600089235505745,13.6,22.956570022719536,0.27830079096094257,-179.9,180.0,80.11133812006193,95.21319903860142
