"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"sheepherding.nlogox"
"D6_N400_R2.5"
"03/21/2026 21:21:04:480 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-35","35"
"[run number]","nb-sheep","nb-dogs","n-topological","W-global-cohesion","R-repulsion","W-neigh-fleeing-cohesion","W-neigh-grazing-cohesion","vision-range","see-centroid","use-density-gradient?","with-exit?","[step]","ticks","done?","current-phase","ticks-to-success","holding-time","sheep-in-zone","sheep-captured-count","dogs-distance","lost-sheep","flock-spreadness","mean-spreadness"
"5","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","2897","2897","true","exiting","2896","0","0","400","15373.395290104181","0","0","24.33558561530167"
"1","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3181","3181","true","exiting","3180","0","0","400","17266.612761852437","0","0","25.056837048555746"
"11","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3067","3067","true","exiting","3066","0","0","400","16024.690152105124","0","0","22.813839516002346"
"2","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3503","3503","true","exiting","3502","0","0","400","18585.1750828979","0","0","22.351261777777264"
"6","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3597","3597","true","exiting","3596","0","0","400","18325.462987362156","0","0","23.19207961075841"
"8","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","6050","6050","true","exiting","6049","0","0","400","30877.953541520288","0","0","17.52091339595199"
"3","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","5925","5925","true","exiting","5924","0","0","400","29943.253261407284","0","0","17.58558043437014"
"12","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3211","3211","true","exiting","3210","0","0","400","16957.21456117709","0","0","21.22692333740475"
"15","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3623","3623","true","exiting","3622","0","0","400","19281.790458045933","0","0","25.067548105317492"
"7","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","6929","6929","true","exiting","6928","0","0","400","34231.49351944245","0","0","16.9536644815546"
"19","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3130","3130","true","exiting","3129","0","0","400","15280.35078347459","0","0","20.645362851779996"
"17","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3088","3088","true","exiting","3087","0","0","400","15642.494285155379","0","0","20.68279271036304"
"20","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3180","3180","true","exiting","3179","0","0","400","14984.46590468631","0","0","19.32998326812104"
"21","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","2673","2673","true","exiting","2672","0","0","400","14598.748486148794","0","0","26.066539300876443"
"14","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","6967","6967","true","exiting","6966","0","0","400","33891.80008823708","0","0","16.284373720644815"
"9","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","9848","9848","true","exiting","9847","0","0","400","48669.987506904974","0","0","16.836314045770802"
"22","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","2182","2182","true","exiting","2181","0","0","400","11235.28089569389","0","0","24.319361057105013"
"4","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","82","0","48738.14820012763","0","10.279612259308676","16.265489017997794"
"10","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","252","0","48797.29147918887","1","14.054813869401935","16.398943669482357"
"24","400","6","7","0.75","2.5","1.5","0.5","30","false","true","true","3017","3017","true","exiting","3016","0","0","400","14696.680145766028","0","0","18.911061783111865"
