"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"sheepherding.nlogox"
"D3_N250_R2.5"
"03/21/2026 20:27:19:886 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-35","35"
"[run number]","nb-sheep","nb-dogs","n-topological","W-global-cohesion","R-repulsion","W-neigh-fleeing-cohesion","W-neigh-grazing-cohesion","vision-range","see-centroid","use-density-gradient?","with-exit?","[step]","ticks","done?","current-phase","ticks-to-success","holding-time","sheep-in-zone","sheep-captured-count","dogs-distance","lost-sheep","flock-spreadness","mean-spreadness"
"40","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2475","2475","true","exiting","2474","0","0","250","6375.249630205643","0","0","21.451438588395142"
"41","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1996","1996","true","exiting","1995","0","0","250","5442.267808283278","0","0","27.061714487748763"
"43","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1715","1715","true","exiting","1714","0","0","250","4661.914088769207","0","0","25.10798524781234"
"36","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2915","2915","true","exiting","2914","0","0","250","7546.9776577606835","0","0","18.071813983928834"
"44","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1791","1791","true","exiting","1790","0","0","250","4884.387950413554","0","0","25.097806056081815"
"42","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2266","2266","true","exiting","2265","0","0","250","5926.096715559594","0","0","21.526209671384212"
"46","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2879","2879","true","exiting","2878","0","0","250","6989.360227138666","0","0","18.816463299848884"
"51","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1795","1795","true","exiting","1794","0","0","250","4746.064515026109","0","0","20.222327866550096"
"53","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","1725","1725","true","exiting","1724","0","0","250","4735.086528047559","0","0","22.512695605284733"
"50","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2159","2159","true","exiting","2158","0","0","250","5935.446624776855","0","0","27.47430169505992"
"49","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2213","2213","true","exiting","2212","0","0","250","5833.7188619092885","0","0","23.11185775435944"
"45","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","3102","3102","true","exiting","3101","0","0","250","7967.1618021922295","0","0","19.383816834916857"
"47","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2568","2568","true","exiting","2567","0","0","250","6708.628778812239","0","0","19.71916270693554"
"54","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2310","2310","true","exiting","2309","0","0","250","6140.092364910588","0","0","23.3151280765026"
"55","250","3","7","0.75","2.5","1.5","0.5","30","false","true","true","2201","2201","true","exiting","2200","0","0","250","5843.724929512382","0","0","25.91355876659317"
