"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"sheepherding.nlogox"
"D10_N300_R2.5"
"03/21/2026 18:34:30:366 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-35","35"
"[run number]","nb-sheep","nb-dogs","n-topological","W-global-cohesion","R-repulsion","W-neigh-fleeing-cohesion","W-neigh-grazing-cohesion","vision-range","see-centroid","use-density-gradient?","with-exit?","[step]","ticks","done?","current-phase","ticks-to-success","holding-time","sheep-in-zone","sheep-captured-count","dogs-distance","lost-sheep","flock-spreadness","mean-spreadness"
"3","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1535","1535","true","exiting","1534","0","0","300","13718.593411293356","0","0","21.32275397619979"
"4","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2243","2243","true","exiting","2242","0","0","300","17714.808997360444","0","0","14.938338720048014"
"7","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1763","1763","true","exiting","1762","0","0","300","15795.379876194711","0","0","22.3647916317343"
"10","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1800","1800","true","exiting","1799","0","0","300","15682.820033679734","0","0","18.684425619174974"
"9","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2481","2481","true","exiting","2480","0","0","300","19558.49202398689","0","0","16.881212302369853"
"2","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2717","2717","true","exiting","2716","0","0","300","23379.168954005607","0","0","19.535139389206257"
"8","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","3348","3348","true","exiting","3347","0","0","300","25555.772953263728","0","0","14.917877151521823"
"11","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2703","2703","true","exiting","2702","0","0","300","21633.783659292436","0","0","16.597696057478434"
"17","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1622","1622","true","exiting","1621","0","0","300","14419.101068080367","0","0","21.384899754500484"
"14","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2926","2926","true","exiting","2925","0","0","300","25126.926348823028","0","0","17.282334248786615"
"1","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","5057","5057","true","exiting","5056","0","0","300","41501.97803755805","0","0","14.950956729458827"
"6","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","5673","5673","true","exiting","5672","0","0","300","46270.995283141","0","0","14.051239924163841"
"16","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","4176","4176","true","exiting","4175","0","0","300","35399.989821097115","0","0","16.56958473000331"
"5","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","6948","6948","true","exiting","6947","0","0","300","55330.26366568592","0","0","14.43970526931889"
"12","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","6156","6156","true","exiting","6155","0","0","300","49999.23149515855","0","0","16.214084902336722"
"23","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1533","1533","true","exiting","1532","0","0","300","13683.40229054233","0","0","20.228235547946117"
"19","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","5888","5888","true","exiting","5887","0","0","300","44520.85518273384","0","0","23.229913377260182"
"22","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","3585","3585","true","exiting","3584","0","0","300","29907.859108051158","0","0","16.148024108781936"
"26","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2120","2120","true","exiting","2119","0","0","300","16622.069841139044","0","0","16.371122674883427"
"24","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","3770","3770","true","exiting","3769","0","0","300","28993.881706316944","0","0","14.610878408288347"
"18","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","7405","7405","true","exiting","7404","0","0","300","57313.729552650155","0","0","13.053889722838846"
"28","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2136","2136","true","exiting","2135","0","0","300","16564.24207870458","0","0","16.474311895906187"
"29","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1488","1488","true","exiting","1487","0","0","300","13092.191415359011","0","0","19.40860463283047"
"13","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","0","0","79884.46648905298","16","24.37119301997986","14.113899700628748"
"32","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1653","1653","true","exiting","1652","0","0","300","14807.528351541901","0","0","20.699407006652834"
"15","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","0","0","78515.76025447286","0","9.29250001963113","14.728005879901472"
"27","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","3693","3693","true","exiting","3692","0","0","300","30450.699827722787","0","0","18.27693221601976"
"31","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2832","2832","true","exiting","2831","0","0","300","23420.015450374845","0","0","16.96375791562492"
"33","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","1987","1987","true","exiting","1986","0","0","300","17346.452458955115","0","0","20.382673082426304"
"21","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","9015","9015","true","exiting","9014","0","0","300","73128.28135453175","0","0","14.739293816041787"
"36","300","10","7","0.75","2.5","1.5","0.5","30","false","true","true","2621","2621","true","exiting","2620","0","0","300","22116.38656679981","0","0","16.07014216885325"
