"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"sheepherding.nlogox"
"D1_N150_R2.5"
"03/21/2026 16:14:01:652 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-35","35"
"[run number]","nb-sheep","nb-dogs","n-topological","W-global-cohesion","R-repulsion","W-neigh-fleeing-cohesion","W-neigh-grazing-cohesion","vision-range","see-centroid","use-density-gradient?","with-exit?","[step]","ticks","done?","current-phase","ticks-to-success","holding-time","sheep-in-zone","sheep-captured-count","dogs-distance","lost-sheep","flock-spreadness","mean-spreadness"
"3","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","2597","2597","true","exiting","2596","0","0","150","2343.069807485019","0","0","31.749498156895275"
"2","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","3512","3512","true","exiting","3511","0","0","150","3228.9435017652618","0","0","35.33063279179456"
"6","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","6428","6428","true","exiting","6427","0","0","150","5880.995698852956","0","0","29.66134957879898"
"5","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","8001","8001","true","exiting","8000","0","0","150","7158.163962632083","0","0","26.82484418996808"
"1","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","8531","8531","true","exiting","8530","0","0","150","7746.67800648957","0","0","27.072042613530822"
"4","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","8759","8759","true","exiting","8758","0","0","150","7989.500394444217","0","0","33.79299294006011"
"10","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","9328","9328","true","exiting","9327","0","0","150","8571.089492718174","0","0","32.68826739008187"
"13","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","3028","3028","true","exiting","3027","0","0","150","2732.143356387842","0","0","33.109476505880615"
"7","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","holding","-1","35","150","0","9182.199349974662","1","9.758505124306568","28.665917077919737"
"8","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","150","0","8959.342173299197","1","10.622915529131017","27.912381013748487"
"9","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","117","0","9027.324704554849","0","6.419438059240489","31.1222337607853"
"17","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","2409","2409","true","exiting","2408","0","0","150","2144.1129737048177","0","0","30.990836948794513"
"18","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","2510","2510","true","exiting","2509","0","0","150","2348.8829182554905","0","0","46.79415768903269"
"14","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","3871","3871","true","exiting","3870","0","0","150","3599.5592589881453","0","0","30.627661713493854"
"15","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","3445","3445","true","exiting","3444","0","0","150","3209.578245620176","0","0","36.98978152676462"
"11","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","123","0","9152.80246408811","73","76.09432648890184","26.651194176109566"
"12","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","holding","-1","58","150","0","9087.73001405468","7","11.288551358405574","29.364957622675867"
"24","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","3589","3589","true","exiting","3588","0","0","150","3251.6648465586277","0","0","31.528019416564373"
"19","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","8243","8243","true","exiting","8242","0","0","150","7474.068381731378","0","0","33.6082234710027"
"27","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","4807","4807","true","exiting","4806","0","0","150","4403.595869697038","0","0","32.42372906788671"
"16","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","138","0","9097.38061469116","0","7.804123700296454","36.65873189841511"
"22","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","9165","9165","true","exiting","9164","0","0","150","8342.231755452704","0","0","29.411987712450927"
"28","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","5096","5096","true","exiting","5095","0","0","150","4719.8195615866725","0","0","30.615434879476176"
"20","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","holding","-1","535","150","0","9223.658317983283","79","31.788648210281163","28.19841488824939"
"30","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","2790","2790","true","exiting","2789","0","0","150","2583.439623532841","0","0","29.138214433141233"
"21","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","holding","-1","6","150","0","9130.761807515242","0","8.530575572313506","30.152087451519737"
"23","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","collecting","-1","0","9","0","9169.29522789319","11","17.946263815825358","29.792791802298765"
"25","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","exiting","-1","0","79","19","9147.307117347607","40","33.863845211133466","28.688368746629166"
"26","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","10000","10000","false","holding","-1","698","150","0","9336.381029117356","73","31.41869391588014","29.01078704652678"
"34","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","3798","3798","true","exiting","3797","0","0","150","3377.7546117455295","0","0","34.35474999117608"
"31","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","4797","4797","true","exiting","4796","0","0","150","4415.216293473114","0","0","29.826102437771574"
"37","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","2732","2732","true","exiting","2731","0","0","150","2423.482714599483","0","0","30.69613926103688"
"29","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","7552","7552","true","exiting","7551","0","0","150","6801.052839947095","0","0","29.088112835918587"
"39","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","3548","3548","true","exiting","3547","0","0","150","3186.8733683137666","0","0","31.606967221805274"
"35","150","1","7","0.75","2.5","1.5","0.5","30","false","true","true","6261","6261","true","exiting","6260","0","0","150","5558.535843059743","0","0","31.567110271013853"
